               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.022135,            0.030513,           0.0013261,             0.98167,             0.99045,             0.99245,             0.83602,            0.014053,            0.023593,          0.00051185,          0.00090001,          0.00090001,          0.00090001
                 102,            0.021231,            0.034482,           0.0017319,             0.96991,             0.99206,             0.99318,             0.82553,            0.013554,            0.022577,          0.00049248,          0.00089901,          0.00089901,          0.00089901
                 103,            0.021096,            0.032545,           0.0015034,             0.98943,             0.98308,             0.99437,             0.82585,            0.013396,            0.021924,          0.00039304,          0.00089801,          0.00089801,          0.00089801
                 104,            0.021193,            0.031842,           0.0016621,             0.98364,             0.97803,             0.99191,             0.83287,            0.013492,            0.024802,          0.00054692,          0.00089701,          0.00089701,          0.00089701
                 105,            0.020644,            0.032553,            0.001516,             0.95868,             0.96505,             0.99085,              0.8307,            0.013511,            0.025645,          0.00092556,          0.00089601,          0.00089601,          0.00089601
                 106,            0.021795,            0.029259,           0.0014766,             0.94983,             0.98165,             0.99073,             0.81935,            0.014302,            0.025617,          0.00088688,          0.00089501,          0.00089501,          0.00089501
                 107,             0.02146,            0.034219,           0.0015992,             0.98241,              0.9752,             0.99262,             0.81324,            0.014839,            0.023892,          0.00051479,          0.00089401,          0.00089401,          0.00089401
                 108,            0.021994,            0.034028,           0.0016803,             0.98645,             0.98304,             0.99413,             0.81081,            0.015856,            0.025229,          0.00042342,          0.00089301,          0.00089301,          0.00089301
                 109,            0.022211,             0.02984,            0.001772,             0.98588,             0.97343,             0.99419,             0.82428,            0.014817,            0.024027,          0.00055953,          0.00089201,          0.00089201,          0.00089201
                 110,            0.021195,            0.032263,           0.0013002,             0.97518,             0.97439,             0.99385,             0.81294,            0.014237,            0.025519,          0.00077282,          0.00089101,          0.00089101,          0.00089101
                 111,            0.022891,             0.03397,           0.0019123,             0.97836,             0.98413,             0.99259,              0.8213,            0.014736,            0.029244,          0.00059187,          0.00089001,          0.00089001,          0.00089001
                 112,            0.022891,            0.034315,           0.0021545,              0.9769,             0.99015,              0.9933,              0.8377,            0.015253,            0.027579,          0.00053408,          0.00088901,          0.00088901,          0.00088901
                 113,            0.021303,            0.032733,           0.0017171,             0.98151,             0.98502,             0.99375,             0.83625,            0.014137,            0.023288,          0.00056685,          0.00088801,          0.00088801,          0.00088801
                 114,              0.0225,            0.031297,           0.0019268,             0.98707,             0.97898,             0.99399,             0.84075,            0.013533,            0.021713,          0.00056863,          0.00088701,          0.00088701,          0.00088701
                 115,            0.021425,            0.033593,           0.0017894,             0.96879,              0.9912,             0.99349,              0.8345,            0.014295,            0.022775,           0.0006216,          0.00088601,          0.00088601,          0.00088601
                 116,            0.021991,            0.032815,           0.0018986,             0.96209,             0.99206,             0.99251,             0.84058,            0.015053,            0.024446,          0.00068539,          0.00088501,          0.00088501,          0.00088501
                 117,            0.021574,            0.031317,           0.0015273,              0.9733,             0.98535,              0.9926,             0.83637,             0.01391,            0.023374,          0.00057068,          0.00088401,          0.00088401,          0.00088401
                 118,            0.021453,            0.032725,           0.0015737,             0.97734,             0.98008,             0.99334,             0.84304,            0.014108,            0.023388,           0.0004553,          0.00088301,          0.00088301,          0.00088301
                 119,            0.022277,             0.03052,           0.0014629,             0.97873,             0.98649,             0.99369,             0.84444,            0.014052,            0.023025,          0.00045282,          0.00088201,          0.00088201,          0.00088201
                 120,            0.021515,            0.031244,           0.0013649,             0.98039,             0.98249,             0.99388,             0.83737,            0.013372,            0.022165,          0.00058144,          0.00088101,          0.00088101,          0.00088101
                 121,             0.02192,            0.029549,           0.0016245,             0.97724,             0.98086,             0.99425,             0.82462,            0.013622,            0.021681,           0.0007017,          0.00088001,          0.00088001,          0.00088001
                 122,            0.022431,            0.034535,           0.0017083,             0.96123,             0.97964,             0.99211,             0.82799,            0.013578,            0.021593,           0.0010405,          0.00087901,          0.00087901,          0.00087901
                 123,            0.022507,            0.032819,            0.001946,             0.98203,             0.99206,             0.99211,             0.81774,            0.014494,            0.024808,          0.00042305,          0.00087801,          0.00087801,          0.00087801
